time,human_status,human_target,human_remaining,human_at_A,human_at_B,human_at_C,human_at_D,robot_status,robot_mode,robot_target,robot_remaining,robot_at_A,robot_at_B,robot_at_C,robot_at_D,prv_mode,delta_t_formal,delta_t_learned,confidence,formal_critical,learned_advisory
72.50,MOVING,B,5.62,False,False,False,False,EXITING,NORMAL,A,1.86,True,False,False,False,NOMINAL,inf,inf,0.850,False,False
73.00,MOVING,B,5.12,False,False,False,False,EXITING,NORMAL,A,1.36,True,False,False,False,NOMINAL,inf,inf,0.850,False,False
73.50,MOVING,B,4.62,False,False,False,False,EXITING,NORMAL,A,0.86,True,False,False,False,NOMINAL,inf,inf,0.850,False,False
74.00,MOVING,B,4.12,False,False,False,False,EXITING,NORMAL,A,0.36,True,False,False,False,NOMINAL,inf,inf,0.850,False,False
74.50,MOVING,B,3.62,False,False,False,False,IDLE,NORMAL,,-0.14,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
75.00,MOVING,B,3.12,False,False,False,False,MOVING,NORMAL,B,7.26,False,False,False,False,ADVISORY,inf,3.12,0.850,False,True
75.50,MOVING,B,2.62,False,False,False,False,MOVING,SLOW,B,7.32,False,False,False,False,NOMINAL,inf,2.62,0.850,False,False
76.00,MOVING,B,2.12,False,False,False,False,MOVING,SLOW,B,6.82,False,False,False,False,NOMINAL,inf,2.12,0.850,False,False
76.50,MOVING,B,1.62,False,False,False,False,MOVING,SLOW,B,6.32,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
77.00,MOVING,B,1.12,False,False,False,False,MOVING,SLOW,B,5.82,False,False,False,False,NOMINAL,inf,1.12,0.850,False,False
77.50,MOVING,B,0.62,False,False,False,False,MOVING,SLOW,B,5.32,False,False,False,False,NOMINAL,inf,0.62,0.850,False,False
78.00,MOVING,B,0.12,False,False,False,False,MOVING,SLOW,B,4.82,False,False,False,False,NOMINAL,inf,0.12,0.850,False,False
78.50,EXITING,B,1.93,False,True,False,False,MOVING,SLOW,B,4.32,False,False,False,False,CRITICAL,4.32,0.00,0.850,True,False
